Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Oct 18 15:46:21 2019
Invocation: foremost -a -T -i ../seventh_element.dd 
Output directory: /root/Downloads/foremost2/output_Fri_Oct_18_15_46_21_2019
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: ../seventh_element.dd
Start: Fri Oct 18 15:46:21 2019
Length: 258 MB (270532608 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00003399.jpg 	      20 MB 	    1740719 	  (Header dump)
1:	00007495.jpg 	      20 MB 	    3837871 	  (Header dump)
2:	00011591.jpg 	      20 MB 	    5935023 	  (Header dump)
3:	00015687.jpg 	      20 MB 	    8032175 	  (Header dump)
4:	00019783.jpg 	      20 MB 	   10129327 	  (Header dump)
5:	00023879.jpg 	      20 MB 	   12226479 	  (Header dump)
6:	00027975.jpg 	      20 MB 	   14323631 	  (Header dump)
7:	00032071.jpg 	      20 MB 	   16420783 	  (Header dump)
8:	00036167.jpg 	      20 MB 	   18517935 	  (Header dump)
9:	00040263.jpg 	      20 MB 	   20615087 	  (Header dump)
10:	00044359.jpg 	      20 MB 	   22712239 	  (Header dump)
11:	00048455.jpg 	      20 MB 	   24809391 	  (Header dump)
12:	00052551.jpg 	      20 MB 	   26906543 	  (Header dump)
13:	00056647.jpg 	      20 MB 	   29003695 	  (Header dump)
14:	00060743.jpg 	      20 MB 	   31100847 	  (Header dump)
15:	00064839.jpg 	      20 MB 	   33197999 	  (Header dump)
16:	00068935.jpg 	      20 MB 	   35295151 	  (Header dump)
17:	00073031.jpg 	      20 MB 	   37392303 	  (Header dump)
18:	00077127.jpg 	      20 MB 	   39489455 	  (Header dump)
19:	00081223.jpg 	      20 MB 	   41586607 	  (Header dump)
20:	00085319.jpg 	      20 MB 	   43683759 	  (Header dump)
21:	00089415.jpg 	      20 MB 	   45780911 	  (Header dump)
22:	00093511.jpg 	      20 MB 	   47878063 	  (Header dump)
23:	00097607.jpg 	      20 MB 	   49975215 	  (Header dump)
24:	00101703.jpg 	      20 MB 	   52072367 	  (Header dump)
25:	00105799.jpg 	      20 MB 	   54169519 	  (Header dump)
26:	00109895.jpg 	      20 MB 	   56266671 	  (Header dump)
27:	00113991.jpg 	      20 MB 	   58363823 	  (Header dump)
28:	00118087.jpg 	      20 MB 	   60460975 	  (Header dump)
29:	00122183.jpg 	      20 MB 	   62558127 	  (Header dump)
30:	00126279.jpg 	      20 MB 	   64655279 	  (Header dump)
31:	00130375.jpg 	      20 MB 	   66752431 	  (Header dump)
32:	00134471.jpg 	      20 MB 	   68849583 	  (Header dump)
33:	00138567.jpg 	      20 MB 	   70946735 	  (Header dump)
34:	00142663.jpg 	      20 MB 	   73043887 	  (Header dump)
35:	00146759.jpg 	      20 MB 	   75141039 	  (Header dump)
36:	00150855.jpg 	      20 MB 	   77238191 	  (Header dump)
37:	00154951.jpg 	      20 MB 	   79335343 	  (Header dump)
38:	00159047.jpg 	      20 MB 	   81432495 	  (Header dump)
39:	00163143.jpg 	      20 MB 	   83529647 	  (Header dump)
40:	00167239.jpg 	      18 MB 	   85626799 	  (Header dump)
41:	00171335.jpg 	      16 MB 	   87723951 	  (Header dump)
42:	00175431.jpg 	      14 MB 	   89821103 	  (Header dump)
43:	00179527.jpg 	      12 MB 	   91918255 	  (Header dump)
44:	00183623.jpg 	      10 MB 	   94015407 	  (Header dump)
45:	00187719.jpg 	       8 MB 	   96112559 	  (Header dump)
46:	00191815.jpg 	       6 MB 	   98209711 	  (Header dump)
47:	00195911.jpg 	       4 MB 	  100306863 	  (Header dump)
48:	00200007.jpg 	       2 MB 	  102404015 	  (Header dump)
49:	00204103.jpg 	     348 KB 	  104501167 	  (Header dump)
50:	00003210.bmp 	       2 MB 	    1643673 	  (Header dump)
51:	00003221.bmp 	       2 MB 	    1649284 	  (Header dump)
52:	00007306.bmp 	       2 MB 	    3740825 	  (Header dump)
53:	00007317.bmp 	       2 MB 	    3746436 	  (Header dump)
54:	00011402.bmp 	       2 MB 	    5837977 	  (Header dump)
55:	00011413.bmp 	       2 MB 	    5843588 	  (Header dump)
56:	00015498.bmp 	       2 MB 	    7935129 	  (Header dump)
57:	00015509.bmp 	       2 MB 	    7940740 	  (Header dump)
58:	00019594.bmp 	       2 MB 	   10032281 	  (Header dump)
59:	00019605.bmp 	       2 MB 	   10037892 	  (Header dump)
60:	00023690.bmp 	       2 MB 	   12129433 	  (Header dump)
61:	00023701.bmp 	       2 MB 	   12135044 	  (Header dump)
62:	00027786.bmp 	       2 MB 	   14226585 	  (Header dump)
63:	00027797.bmp 	       2 MB 	   14232196 	  (Header dump)
64:	00031882.bmp 	       2 MB 	   16323737 	  (Header dump)
65:	00031893.bmp 	       2 MB 	   16329348 	  (Header dump)
